"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
11,"A Study of SHR-1210 in Combination With Carboplatin+Paclitaxel-albumin in Subjects With Resectable NSCLC","Not yet recruiting","No Results Available","Lung Cancer Stage II|PD-1 Antibody|Non-small Cell Lung Cancer","Drug: SHR-1210|Drug: Carboplatin and Paclitaxel-albumin",,"https://ClinicalTrials.gov/show/NCT04108013"
12,"SPIRIT for Persons With Dementia and Complex Multimorbidity","Not yet recruiting","No Results Available","End Stage Renal Disease","Behavioral: SPIRIT-Dementia|Behavioral: Usual Care","Emory Dialysis at Northside, Atlanta, Georgia, United States|Emory Dialysis at Greenbriar, Atlanta, Georgia, United States|Emory Dialysis at North Decatur, Decatur, Georgia, United States|Emory Dialysis at Candler, Decatur, Georgia, United States","https://ClinicalTrials.gov/show/NCT04108000"
13,"Berberine, Curcumin, Inositol, Banaba and Chromium Picolinate in Patients With Fasting Dysglycemia","Completed","No Results Available","Dysglycemia","Dietary Supplement: Reglicem|Other: Placebo","IRCCS Policlinico San Matteo, Pavia, Lombardia, Italy","https://ClinicalTrials.gov/show/NCT04107987"
14,"PRG With and Without Gastropexy","Recruiting","No Results Available","Gastrostomy|Gastrostomy Complications","Device: Gastropexy.|Procedure: Non-Gastropexy","Toronto General Hospital - University Health Network, Toronto, Ontario, Canada","https://ClinicalTrials.gov/show/NCT04107974"
15,"A Study to Assess Safety and Efficacy of a Leishmania Vaccine to Prevent Post Kala Azar Dermal Leishmaniasis (PKDL)","Not yet recruiting","No Results Available","Post-kala-azar Dermal Leishmaniasis","Biological: Vaccine|Other: Placebo",,"https://ClinicalTrials.gov/show/NCT04107961"
16,"Efficiency of an Optimized Care Organization for Fibromyalgia Patients. The FIMOUV 2 Study","Not yet recruiting","No Results Available","Fibromyalgia|Physical Activity","Other: physical activity program|Other: Advice and recommendations of physical activity at home","CH d'ANNONAY, Annonay, France|CH de Firminy, Firminy, France|CH de MONTBRISON, Montbrison, France|CH de Rive de Gier, Rive-de-Gier, France|CH de ROANNE, Roanne, France|Chu Saint Etienne, Saint Etienne, France","https://ClinicalTrials.gov/show/NCT04107948"
17,"Telemedicine for Reach, Education, Access and Treatment-ongoing","Not yet recruiting","No Results Available","Diabetes Mellitus","Behavioral: TREAT-ON|Behavioral: Usual Care",,"https://ClinicalTrials.gov/show/NCT04107935"
18,"Nutraceutical on Hyperglycemia","Completed","No Results Available","Dysglycemia","Dietary Supplement: Glicoset|Other: Placebo","IRCCS Policlinico San Matteo, Pavia, Lombardy, Italy","https://ClinicalTrials.gov/show/NCT04107922"
19,"Laparoscopic Cholecystectomy:","Not yet recruiting","No Results Available","Cholecystitis","Procedure: laparoscopic cholecystectomy",,"https://ClinicalTrials.gov/show/NCT04107909"
20,"Efficacy of Silodosin in the Treatment of Symptomatic Benign Prostatic Hyperplasia (BPH)","Completed","No Results Available","Benign Prostatic Hyperplasia","Drug: Silodosin|Drug: Tamsulosin","Maidul islam, Dhaka, Bangladesh","https://ClinicalTrials.gov/show/NCT04107896"
21,"Effect of Transfusion of Plasma on Endothelial During Liver Transplantation","Not yet recruiting","No Results Available","End Stage Liver DIsease|Liver Transplantation","Biological: fresh frozen plasma|Diagnostic Test: blood sample",,"https://ClinicalTrials.gov/show/NCT04107883"
22,"Efficiency of Virtual Reality Exposure Therapy in the Management of Body Dysmorphic Disorders in Female Adolescents With Anorexia Nervosa","Not yet recruiting","No Results Available","Anorexia Nervosa","Behavioral: Virtual Reality Exposure Therapy sessions|Behavioral: Psychomotor therapy sessions","Damien JOLLY, Reims, France","https://ClinicalTrials.gov/show/NCT04107870"
23,"Electronic Health Record-Enabled Evidence-Based Smoking Cessation Quality Improvement Implementation Program","Not yet recruiting","No Results Available","Smoking Cessation","Behavioral: ELEVATE enhancement to electronic health record (EHR) to improve cessation counseling offer|Behavioral: ELEVATE enhancement to electronic health record (EHR) to improve smoking cessation medication offer|Behavioral: Data Driven Feedback reports","Washington University School of Medicine, Saint Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT04107857"
24,"Safe Return to Play After Concussion, Increased Knowlegde of a Potential Physiological Deficit After Cessation of Symptoms","Not yet recruiting","No Results Available","Concussion, Brain|Sports Injury","Diagnostic Test: Novel facilitating agility dual-task test combined with already known tests","Signe Refsgaard Bech, Aalborg, Denmark","https://ClinicalTrials.gov/show/NCT04107844"
25,"Physical Function in Patients With Chronic Obstructive Pulmonary Disease","Recruiting","No Results Available","COPD","Other: Pulmonary rehabilitation","Bente Frisk, Sandsli, Norway","https://ClinicalTrials.gov/show/NCT04107831"
26,"Comparison of Viscoelastic Measurement by ROTEM® Delta and ClotPro® in Trauma Patients.","Not yet recruiting","No Results Available","Polytrauma|Coagulation Disorder",,"University Hospital Brno and Masaryk University Brno, Brno, Czechia","https://ClinicalTrials.gov/show/NCT04107818"
27,"A Study in Healthy Men and Women to Test How Well Different Doses of BI 1323495 Are Tolerated","Not yet recruiting","No Results Available","Healthy","Drug: BI 1323495|Drug: Placebo|Drug: Midazolam",,"https://ClinicalTrials.gov/show/NCT04107805"
28,"Parental Sense of Competence Workshops for Parents of Children With Sensory Processing Issues","Not yet recruiting","No Results Available","Parents","Behavioral: parental sense of competence workshop",,"https://ClinicalTrials.gov/show/NCT04107792"
29,"Changes in Biomarkers of Cigarette Smoke Exposure After Switching Either Exclusively or Partly to JUUL ENDS","Enrolling by invitation","No Results Available","Electronic Cigarette Use|Cigarette Use, Electronic|Tobacco Use|Tobacco Smoking","Other: Switch from UB of Combustible Cigarette to JUUL 5% Virginia Tobacco ENDS|Other: Switch from UB of Combustible Cigarette to JUUL 3% Virginia Tobacco ENDS|Other: Switch from UB of Combustible Cigarette to JUUL 5% Mint ENDS|Other: Switch from UB of Combustible Cigarette to JUUL 3% Mint ENDS|Other: Switch from UB of Combustible Cigarette to JUUL 5% Menthol ENDS|Other: Switch from UB of Combustible Cigarette to JUUL 3% Menthol ENDS|Other: Switch from UB of Combustible Cigarette to JUUL 5% Mango ENDS|Other: Switch from UB of Combustible Cigarette to JUUL 3% Mango ENDS|Other: Switch to Dual-use of JUUL 5% and UB of Combustible Cigarette|Other: Tobacco/Nicotine Abstention|Other: Usual Brand of cigarettes","Woodland International Research Group, Little Rock, Arkansas, United States|Woodland Research Northwest, Rogers, Arkansas, United States|St. Louis Clinical Trials, Saint Louis, Missouri, United States|Woodland Clinical Research Center, Dayton, Ohio, United States","https://ClinicalTrials.gov/show/NCT04107779"
30,"NOLA (NeuWave Observational Liver Ablation) Registry","Not yet recruiting","No Results Available","Cancer of the Liver|Liver Cancer|Neoplasms, Liver","Device: Microwave Ablation",,"https://ClinicalTrials.gov/show/NCT04107766"
31,"The Impact of Brief Motivational Counseling for Smoking Cessation in an Italian Emergency Department: a Randomized Controlled Trial","Completed","No Results Available","Smoking Habit","Behavioral: Brief counseling based on the 5As model","Università degli Studi del Piemonte Orientale ""Amedeo Avogadro"", Novara, Italy","https://ClinicalTrials.gov/show/NCT04107753"
32,"C-Trelin Orally Disintegrated(OD) Tablet 5mg in Ataxia Due to Spinocerebellar Degeneration","Recruiting","No Results Available","Spinocerebellar Degeneration","Drug: C-Trelin OD Tab(5mg Taltirelin Hydrate)|Drug: Placebo","Korea University Guro Hospital, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT04107740"
33,"Trial to Compare Efficacy and Safety of Chemotherapy/Quizartinib vs Chemotherapy/Placebo in Adults FLT3 Wild-type AML","Recruiting","No Results Available","Acute Myeloid Leukemia","Drug: Quizartinib|Drug: Placebo oral tablet|Drug: Cytarabine|Drug: Idarubicin","Complejo Hospitalario Universitario de A Coruña, Santiago De Compostela, A Coruña, Spain|Complejo Hospitalario Universitario de Santiago, Santiago De Compostela, A Coruña, Spain|Hospital Universitari Germans Trias i Pujol, Badalona, Barcelona, Spain|Hospital General Univesitario de Castellón, Castellón De La Plana, Castellón, Spain|Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín, Las Palmas De Gran Canaria, Las Palmas, Spain|Hospital Universitario Quirón Salud Madrid, Pozuelo De Alarcón, Madrid, Spain|Hospital General Universitario Santa Lucía, Cartagena, Murcia, Spain|Complejo Hospitalario Universitario de Vigo, Vigo, Pontevedra, Spain|Hospital Universitario de Canarias, La Laguna, Santa Cruz De Tenerife, Spain|Hospital Universitario de Basurto, Bilbao, Vizcaya, Spain|Hospital Universitario de Galdakao, Galdakao, Vizcaya, Spain|Complejo Hospitalario de Albacete, Albacete, Spain|Hospital General Universitario de Alicante, Alicante, Spain|Complejo Hospitalario Torrecárdenas, Almería, Spain|Hospital Universitari Vall Hebron, Barcelona, Spain|Hospital Universitario de Burgos, Burgos, Spain|Hospital San Pedro de Alcántara, Cáceres, Spain|Complejo Hospitalario Regional Reina Sofía, Córdoba, Spain|Hospital Universitario Virgen de las Nieves, Granada, Spain|Hospital Juan Ramón Jiménez, Huelva, Spain|Complejo Hospitalario de Jaén, Jaén, Spain|Complejo Hospitalario Lucus Augusti, Lugo, Spain|Fundación Jiménez Díaz, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Regional Universitario Málaga, Málaga, Spain|Hospital Universitario Virgen de la Victoria, Málaga, Spain|Hospital Universitario Central de Asturias, Oviedo, Spain|Complejo Universitario de Navarra, Pamplona, Spain|Complejo Hospitalario de Pontevedra, Pontevedra, Spain|Hospital Universitario de Salamanca, Salamanca, Spain|Hospital Universitario Marques de Valdecilla, Santander, Spain|Complejo Hospitalario Regional Virgen del Rocío, Sevilla, Spain|Complejo Hospitalario de Toledo, Toledo, Spain|Hospital Clínico Universitario Valencia, Valencia, Spain|Hospital Universitario Dr. Peset Aleixandre, Valencia, Spain|Hospital Universitari i Politecnic La Fe, Valencia, Spain|Hospital Clínico Universitario de Valladolid, Valladolid, Spain|Hospital Clínico Universitario Lozano Blesa, Zaragoza, Spain|Hospital Universitario Miguel Servet, Zaragoza, Spain|Hospital Txagorritxu, Vitoria, Álava, Spain","https://ClinicalTrials.gov/show/NCT04107727"
34,"Starting the Conversation","Not yet recruiting","No Results Available","Stigma of Parents of Children With Mental Illness","Behavioral: STC","Department of Child and Adolescent Psychiatry, University of Ulm, Ulm, Germany","https://ClinicalTrials.gov/show/NCT04107714"
35,"Indoor Air Quality and Respiratory Morbidity in School-Aged Children With BPD","Recruiting","No Results Available","Bronchopulmonary Dysplasia|Chronic Lung Disease of Newborn|Environmental Exposure",,"Boston Childrens Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04107701"
36,"Taste Perception, Salivary Proteins & the Oral Microbiome","Active, not recruiting","No Results Available","Saliva Altered|Taste, Altered","Other: Control|Other: CPE","Rutgers University, Department of Food Science, New Brunswick, New Jersey, United States","https://ClinicalTrials.gov/show/NCT04107688"
37,"A Safety Study of Liposomal Cyclosporine A to Treat Bronchiolitis Obliterans Syndrome Following Allogeneic Hematopoietic Stem Cell Transplant","Not yet recruiting","No Results Available","Bronchiolitis Obliterans|GVHD, Chronic|Stem Cell Transplant Complications","Drug: Liposomal Cyclosporine A|Drug: Liposomal Placebo",,"https://ClinicalTrials.gov/show/NCT04107675"
38,"Biomarkers of Traumatic Brain Injury With Tbit System","Not yet recruiting","No Results Available","Brain Injuries, Traumatic","Device: Tbit system",,"https://ClinicalTrials.gov/show/NCT04107662"
39,"Knee Arthroplasty Activity Trial","Not yet recruiting","No Results Available","Knee Osteoarthritis|Total Knee Replacement","Behavioral: Telephonic Active Coaching (Motivational Interviewing) + Financial Incentives|Behavioral: Wrist based activity tracker wear|Behavioral: Phone calls to provide information about general well being|Other: Basic Study Activities","Northwestern Memorial Hospital, Chicago, Illinois, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|The Cleveland Clinic, Cleveland, Ohio, United States|University of South Carolina - Palmetto Health, Columbia, South Carolina, United States","https://ClinicalTrials.gov/show/NCT04107649"
40,"Minimal Invasive Breast Cancer Excision Using Vacuum Assisted Biopsy Under Ultrasound Guidance","Not yet recruiting","No Results Available","Breast Cancer","Procedure: Vacuum assisted biopsy|Procedure: conventional lumpectomy",,"https://ClinicalTrials.gov/show/NCT04107636"
41,"Quantitative Fluorescent Guided Robotic Surgery for Cancer of the Gastroesophageal Junction","Not yet recruiting","No Results Available","Stomach Neoplasms|Surgery","Diagnostic Test: Indocyanine Green",,"https://ClinicalTrials.gov/show/NCT04107623"
42,"Normative Oculomotor and Vestibular Data in Pediatric Population","Not yet recruiting","No Results Available","Healthy","Device: I-PAS","University of Miami, Miami, Florida, United States|Allegheny Health Network, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04107610"
43,"Myofascial Trigger Point Release and Paced Breathing Training for Chronic Low Back Pain","Completed","No Results Available","Chronic Low-back Pain","Other: Core stabilization exercises|Other: Core stabilization exercises and paced breathing training|Other: Myofascial trigger point release|Other: Myofascial trigger point release and paced breathing training","Arcim Institute, Filderstadt, Baden-Württemberg, Germany","https://ClinicalTrials.gov/show/NCT04107597"
44,"Prognostic Value of Plasma Biomarkers Among Patients With Hypertension","Recruiting","No Results Available","Hypertension",,"Beijing Anzhen Hospital, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04107584"
45,"A Registry Study on Serumal Biomarkers About Adverse Events in Patients Undergoing Coronary Artery Bypass Grafting.","Recruiting","No Results Available","Cardiac Surgery","Procedure: A type of operation for coranary heart disease patients.","Beijing Anzhen Hospital, Beijing, China","https://ClinicalTrials.gov/show/NCT04107571"
46,"Healthy Volunteer Undergoing Painful Stimuli With and Without Hypnosis and Virtual Reality","Recruiting","No Results Available","Hypnosis and Virtual Reality","Device: Virtual Reality","Université de Liège- CHU, Liege, Belgium","https://ClinicalTrials.gov/show/NCT04107558"
47,"Metabolic, Functional and Nutritional Responses to Weight Cycling in Athletes: The WAVE Study","Not yet recruiting","No Results Available","Athletes","Behavioral: athletes","Chu Clermont Ferrand, Clermont-Ferrand, France","https://ClinicalTrials.gov/show/NCT04107545"
48,"Cognitive Behavioral Therapy Based on Virtual Reality and Biofeedback Technology","Not yet recruiting","No Results Available","Virtual Reality Exposure Therapy","Other: Virtual Reality Therapy and Imagination Exposure Therapy",,"https://ClinicalTrials.gov/show/NCT04107532"
49,"Goal-Directed Resilience Training to Mitigate Chronic Pain in Former Football Players","Not yet recruiting","No Results Available","Chronic Pain","Behavioral: Goal-Directed Resilience Training","Morehouse School of Medicine, Atlanta, Georgia, United States","https://ClinicalTrials.gov/show/NCT04107519"
50,"The Supporting Early Learning Study","Not yet recruiting","No Results Available","Child Behavior|Parent-Child Relations","Behavioral: Filming Interactions to Nurture Development|Behavioral: The Healthy Toddler Program",,"https://ClinicalTrials.gov/show/NCT04107506"
51,"Evaluation of a Portable Oxygen Concentrator During Ambulation for Patients Who Require Supplemental Oxygen (POC-LEAN)","Not yet recruiting","No Results Available","Chronic Obstructive Pulmonary Disease","Other: Six Minutes Walk Tests",,"https://ClinicalTrials.gov/show/NCT04107493"
52,"PRolaCT - Three Multicenter Prolactinoma Randomized Clinical Trials","Recruiting","No Results Available","Prolactinoma|Prolactin-Producing Pituitary Tumor","Procedure: Endoscopic trans-sphenoidal adenoma resection|Drug: Dopamine Agonists","Amsterdam University Medical Center, loc. AMC, Amsterdam-Zuidoost, Noord-Holland, Netherlands|Reinier de Graaf Gasthuis, Delft, Zuid-Holland, Netherlands|Leiden University Medical Center, Leiden, Zuid-Holland, Netherlands","https://ClinicalTrials.gov/show/NCT04107480"
